Title,Author,Is Part Of,Dissertation,Edition,Publisher,Creation Date,Identifier,Format,Subjects,MESH subjects,Genre,Description,General note,With,Language,Attribution,Contents,Additional Title,Related Titles,Series,Frequency,Bound with,Source,MMS ID,Course Information,Permalink
Superconducting quantum computing: a review,"Huang, He-Liang ;  Wu, Dachao ;  Fan, Daojin ;  Zhu, Xiaobo","Science China. Information sciences, 2020, Vol.63 (8), Article 180501",,,Beijing: Science China Press,,ISSN: 1674-733X; ISSN: 1869-1919; EISSN: 1869-1919; EISSN: 2331-8422; DOI: 10.1007/s11432-020-2881-9,,Algorithms ;  Computer Science ;  Error correction ;  Information Systems and Communication Service ;  Microprocessors ;  Physics - Quantum Physics ;  Quantum computers ;  Quantum computing ;  Qubits (quantum computing) ;  Review ;  Superconductivity,,,"Over the last two decades, tremendous advances have been made for constructing large-scale quantum computers. In particular, quantum computing platforms based on superconducting qubits have become the leading candidate for scalable quantum processor architecture, and the milestone of demonstrating quantum supremacy has been first achieved using 53 superconducting qubits in 2019. In this study, we provide a brief review on the experimental efforts towards the large-scale superconducting quantum computer, including qubit design, quantum control, readout techniques, and the implementations of error correction and quantum algorithms. Besides the state of the art, we finally discuss future perspectives, and which we hope will motivate further research.",,,English,,,,,,,,KB+ JISC Collections Springer Compact 2019-2021; arXiv.org; Free E- Journals; SpringerLink Journals - AutoHoldings; Springer Journals Online,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1007_s11432_020_2881_9
"Quantum communication, computing, and measurement 3 ","Tombesi, P. (Paolo), editor. ; Hirota, O. (Osamu), 1948- editor. ; International Conference on Quantum Communication, Measurement, and Computing (5th : 2000 : Capri, Italy) ",,,,New York : Kluwer Academic,2002,ISBN : 9780306471148 electronic book; OCLC : (OCoLC)50608304,"1 online resource (xxvi, 476 pages) : illustrations",Optical communications ; Quantum optics ; Quantum electronics ; Quantum computers ,,Congresses,,"""Proceedings of the 5th International Conference on Quantum Communication, Measurement, and Computing, held July 3-8, 2000, in Capri, Italy"" --T.p. verso.",,English,edited by Paolo Tombesi and Osamu Hirota.,,,,,,,Library Catalog,9963563602461,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma9963563602461
Quantum computing with quantum-Hall edge state interferometry,"Bordone, Paolo ;  Bellentani, Laura ;  Bertoni, Andrea","Semiconductor science and technology, 2019, Vol.34 (10), p.103001",,,IOP Publishing,,ISSN: 0268-1242; ISSN: 1361-6641; EISSN: 1361-6641; DOI: 10.1088/1361-6641/ab3be6; CODEN: SSTEET,,edge states ;  electron interferometry ;  quantum computing,,,"Electron interferometers based on Hall edge states (ESs) proved to be robust demonstrators of the coherent quantum dynamics of carriers. Several proposals to expose their capability to build and control quantum entanglement and to exploit them as building block for quantum computing devices has been presented. Here, we review the time-dependent numerical modeling of Hall interferometers operating at the single-carrier level at integer filling factor (FF). By defining the qubit state either as the spatial localization (at FF 1) or the Landau index (at FF 2) of a single carrier propagating in the ES, we show how a generic one-qubit rotation can be realized. By a proper design of the two-dimensional electron gas potential landscape, an entangling two-qubit gate can be implemented by exploiting Coulomb interaction, thus realizing a universal set of quantum gates. We also assess how the shape of the edge confining potential affects the visibility of the quantum transformations.",,,English,,,,,,,,Institute of Physics Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_crossref_primary_10_1088_1361_6641_ab3be6
Quantum Computing Approaches for Vector Quantization-Current Perspectives and Developments,"Engelsberger, Alexander ;  Villmann, Thomas","Entropy (Basel, Switzerland), 2023, Vol.25 (3), p.540",,,Switzerland: MDPI AG,,ISSN: 1099-4300; EISSN: 1099-4300; DOI: 10.3390/e25030540; PMID: 36981428,,Adaptation ;  Algorithms ;  Analysis ;  Classification ;  Clustering ;  Complexity ;  Counters ;  Data compression ;  Linear programming ;  Machine learning ;  Memory ;  Optimization ;  prototype-based learning ;  Prototypes ;  Quantum computing ;  quantum machine learning ;  Vector quantization,,,"In the field of machine learning, vector quantization is a category of low-complexity approaches that are nonetheless powerful for data representation and clustering or classification tasks. Vector quantization is based on the idea of representing a data or a class distribution using a small set of prototypes, and hence, it belongs to interpretable models in machine learning. Further, the low complexity of vector quantizers makes them interesting for the application of quantum concepts for their implementation. This is especially true for current and upcoming generations of quantum devices, which only allow the execution of simple and restricted algorithms. Motivated by different adaptation and optimization paradigms for vector quantizers, we provide an overview of respective existing quantum algorithms and routines to realize vector quantization concepts, maybe only partially, on quantum devices. Thus, the reader can infer the current state-of-the-art when considering quantum computing approaches for vector quantization.",,,English,,,,,,,,DOAJ Directory of Open Access Journals; GFMER Free Medical Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_doaj_primary_oai_doaj_org_article_a65104799452454b8f007e2483443370
Quantum computing and quantum artificial intelligence for renewable and sustainable energy: A emerging prospect towards climate neutrality,"Ajagekar, Akshay ;  You, Fengqi","Renewable & sustainable energy reviews, 2022, Vol.165, p.112493, Article 112493",,,Elsevier Ltd,,ISSN: 1364-0321; EISSN: 1879-0690; DOI: 10.1016/j.rser.2022.112493,,Artificial intelligence ;  Chemistry ;  Climate-neutrality ;  Quantum computing ;  Renewable energy ;  Sustainability,,,"Transitioning from fossil fuels to renewable sources and developing sustainable energy materials for energy production and storage are critical factors in achieving climate neutrality. These can be realized through innovative strategies to provide viable, economically competitive, and scalable technologies ranging across various sectors. Quantum computing (QC) has the potential to revolutionize various domains of science and engineering, including macro-energy systems and sustainable energy materials design. Conventional approaches for renewable and sustainable energy systems solely rely on classical computing techniques that may not scale well with the increasing size and complexity of applications. Owing to the advancements in quantum hardware and algorithms, QC and quantum artificial intelligence make promising tools to handle renewable and sustainable energy systems even at larger scales. In this review, we discuss the prospects of QC for various areas of applications in energy sustainability to help address climate change. In addition to providing a brief background on the operations of quantum computers, the constituent segments of widely adopted QC-based techniques that improve the computational efficiency of quantum chemistry calculations for sustainable energy materials along with quantum artificial intelligence methods that can address complex optimization and machine learning problems arising in renewable energy systems are also introduced in this paper. We screen the presented quantum algorithms based on their performance on current quantum devices despite their promising potential. Furthermore, sustainable energy applications that may draw advantages from QC-based strategies are identified in this work while simultaneously setting realistic expectations over the potential improvements offered over classical techniques.
•Quantum computing-based methods for sustainable energy applications are reviewed.•Data-driven decision-making in quantum artificial intelligence is discussed.•Perspectives on using quantum speedups for renewable energy systems are provided.•Quantum chemistry techniques for sustainable energy materials design are presented.•Key challenges of quantum algorithms for practical applications are also addressed.",,,English,,,,,,,,ScienceDirect; Elsevier ScienceDirect; Elsevier ScienceDirect Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_crossref_primary_10_1016_j_rser_2022_112493
How to Efficiently Handle Complex Values? Implementing Decision Diagrams for Quantum Computing,"Zulehner, Alwin ;  Hillmich, Stefan ;  Wille, Robert","2019 IEEE/ACM International Conference on Computer-Aided Design (ICCAD), 2019, p.1-7",,,Ithaca: IEEE,,EISSN: 1558-2434; EISSN: 2331-8422; EISBN: 9781728123509; EISBN: 172812350X; DOI: 10.1109/ICCAD45719.2019.8942057,,Complex numbers ;  Complexity ;  Entanglement ;  Logic gates ;  Quantum computing ;  Quantum entanglement ;  Quantum mechanics ;  Qubit ;  Redundancy,,,"Quantum computing promises substantial speedups by exploiting quantum mechanical phenomena such as superposition and entanglement. Corresponding design methods require efficient means of representation and manipulation of quantum functionality. In the classical domain, decision diagrams have been successfully employed as a powerful alternative to straightforward means such as truth tables. This motivated extensive research on whether decision diagrams provide similar potential in the quantum domain-resulting in new types of decision diagrams capable of substantially reducing the complexity of representing quantum states and functionality. From an implementation perspective, many concepts and techniques from the classical domain can be re-used in order to implement decision diagrams packages for the quantum realm. However, new problems-namely how to efficiently handle complex numbers-arise. In this work, we propose a solution to overcome these problems. Experimental evaluations confirm that this yields improvements of orders of magnitude in the runtime needed to create and to utilize these decision diagrams. The resulting implementation is publicly available as a quantum DD package at http://iic.jku.at/eda/research/quantum_dd.",,,English,,,,,,,,IEEE/IET Electronic Library,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_journals_2321164650
Quantum computing with defects,"Weber, J.R ;  Koehl, W.F ;  Varley, J.B ;  Janotti, A ;  Buckley, B.B ;  Van de Walle, C.G ;  Awschalom, D.D","Proceedings of the National Academy of Sciences - PNAS, 2010, Vol.107 (19), p.8513-8518",,,United States: National Academy of Sciences,,ISSN: 0027-8424; EISSN: 1091-6490; EISSN: 2331-8422; DOI: 10.1073/pnas.1003052107; PMID: 20404195,,Anions ;  Atoms ;  Defects ;  Diamonds ;  Electronic structure ;  Electronics ;  Electrons ;  Energy ;  Impurities ;  Mechanical properties ;  Nitrogen ;  Optical transition ;  Orbitals ;  Physical properties ;  Physical Sciences ;  Properties ;  Quantum computers ;  Quantum computing ;  Quantum phenomena ;  Quantum theory ;  Qubits (quantum computing) ;  Semiconductors ;  Silicon carbide,,,"Identifying and designing physical systems for use as qubits, the basic units of quantum information, are critical steps in the development of a quantum computer. Among the possibilities in the solid state, a defect in diamond known as the nitrogen-vacancy (NV⁻¹) center stands out for its robustness--its quantum state can be initialized, manipulated, and measured with high fidelity at room temperature. Here we describe how to systematically identify other deep center defects with similar quantum-mechanical properties. We present a list of physical criteria that these centers and their hosts should meet and explain how these requirements can be used in conjunction with electronic structure theory to intelligently sort through candidate defect systems. To illustrate these points in detail, we compare electronic structure calculations of the NV⁻¹ center in diamond with those of several deep centers in 4H silicon carbide (SiC). We then discuss the proposed criteria for similar defects in other tetrahedrally coordinated semiconductors.",,,English,,,,,,,,JSTOR Life Sciences Collection; arXiv.org; GFMER Free Medical Journals; PubMed Central; Alma/SFX Local Collection; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_1003_1754
Universal Fault-Tolerant Quantum Computing with Stabiliser Codes,"Webster, Paul ;  Vasmer, Michael ;  Scruby, Thomas R ;  Bartlett, Stephen D","arXiv.org, 2022",,,"Ithaca: Cornell University Library, arXiv.org",,EISSN: 2331-8422; DOI: 10.1103/PhysRevResearch.4.013092,,Codes ;  Concatenated codes ;  Distillation ;  Fault tolerance ;  Gates ;  Logic circuits ;  Physics - Quantum Physics ;  Quantum computers ;  Quantum computing ;  Theorems,,,"The quantum logic gates used in the design of a quantum computer should be both universal, meaning arbitrary quantum computations can be performed, and fault-tolerant, meaning the gates keep errors from cascading out of control. A number of no-go theorems constrain the ways in which a set of fault-tolerant logic gates can be universal. These theorems are very restrictive, and conventional wisdom holds that a universal fault-tolerant logic gate set cannot be implemented natively, requiring us to use costly distillation procedures for quantum computation. Here, we present a general framework for universal fault-tolerant logic with stabiliser codes, together with a no-go theorem that reveals the very broad conditions constraining such gate sets. Our theorem applies to a wide range of stabiliser code families, including concatenated codes and conventional topological stabiliser codes such as the surface code. The broad applicability of our no-go theorem provides a new perspective on how the constraints on universal fault-tolerant gate sets can be overcome. In particular, we show how non-unitary implementations of logic gates provide a general approach to circumvent the no-go theorem, and we present a rich landscape of constructions for logic gate sets that are both universal and fault-tolerant. That is, rather than restricting what is possible, our no-go theorem provides a signpost to guide us to new, efficient architectures for fault-tolerant quantum computing.",,,English,,,,,,,,arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_2012_05260
JKQ: JKU Tools for Quantum Computing,"Wille, Robert ;  Hillmich, Stefan ;  Burgholzer, Lukas","2020 IEEE/ACM International Conference On Computer Aided Design (ICCAD), 2020, p.1-5",,,Association on Computer Machinery,,EISSN: 1558-2434; EISBN: 9781665423243; EISBN: 1665423242; DOI: 10.1145/3400302.3415746,,Computational modeling ;  Computers ;  corresponding quantum circuits ;  design automation expertise ;  design problems ;  electronic design automation ;  electronic engineering education ;  Integrated circuit modeling ;  JKU tools ;  Johannes Kepler University Linz ;  Logic gates ;  mechanical engineering ;  quantum computers ;  quantum computing ;  quantum theory ;  Qubit ;  sophisticated design automation tools ;  Task analysis,,,"With quantum computers on the brink of practical applicability, there is a lively community that develops toolkits for the design of corresponding quantum circuits. Many of the problems to be tackled here are similar to design problems from the classical realm for which sophisticated design automation tools have been developed in the previous decades. In this paper, we present JKQ-a set of tools for quantum computing developed at the Johannes Kepler University (JKU) Linz which utilizes this design automation expertise. By this, we offer complementary approaches for many design problems in quantum computing such as simulation, compilation, or verification. In the following, we provide an introduction of the tools for potential users who would like to work with them as well as potential developers aiming to extend them.",,,English,,,,,,,,IEEE/IET Electronic Library,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_ieee_primary_9256749
Hybrid quantum–classical convolutional neural networks with privacy quantum computing,"Huang, Siwei ;  Chang, Yan ;  Lin, Yusheng ;  Zhang, Shibin","Quantum Science and Technology, 2023, Vol.8 (2), p.25015",,,IOP Publishing,,ISSN: 2058-9565; EISSN: 2058-9565; DOI: 10.1088/2058-9565/acb966,,cloud computing ;  image encryption ;  privacy protection ;  quantum convolutional neural networks,,,"Abstract Machine learning algorithms help us discover knowledge from big data. Data used for training or prediction often contain private information about users. Discovering knowledge while protecting data or user privacy is the way machine learning is expected, especially in the cloud environment. Quantum machine learning is a kind of machine learning that realizes parallel acceleration by quantum superposition. Quantum computing power for quantum machine learning is typically provided by quantum cloud computing services. Existing quantum machine learning algorithms hardly consider privacy protection. This paper presents an encryption method for image data which can effectively protect the input data privacy in hybrid quantum–classical convolutional neural networks algorithm. The user’s original image data is first encrypted, and then sent to the quantum cloud to calculate the image convolution. By doing so, the feature map of the ciphertext image is obtained by the user. The result obtained by decrypting the feature map is the same as that obtained by using the original image as the input of convolution calculation. Experiments show that our privacy protection scheme can protect the privacy of input image data in the hybrid quantum–classical neural networks algorithm, but does not affect the accuracy of the algorithm. In addition to image encryption and feature map decryption, the proposed scheme does not bring additional computational complexity.",,,English,,,,,,,,Institute of Physics Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_crossref_primary_10_1088_2058_9565_acb966
