Title,Author,Is Part Of,Dissertation,Edition,Publisher,Creation Date,Identifier,Format,Subjects,MESH subjects,Genre,Description,General note,With,Language,Attribution,Contents,Additional Title,Related Titles,Series,Frequency,Bound with,Source,MMS ID,Course Information,Permalink
QAmplifyNet: pushing the boundaries of supply chain backorder prediction using interpretable hybrid quantum-classical neural network,"Jahin, Md Abrar ;  Shovon, Md Sakib Hossain ;  Islam, Md. Saiful ;  Shin, Jungpil ;  Mridha, M. F. ;  Okuyama, Yuichi","Scientific reports, 2023, Vol.13 (1), p.18246-18246, Article 18246",,,London: Nature Publishing Group,,ISSN: 2045-2322; EISSN: 2045-2322; DOI: 10.1038/s41598-023-45406-7; PMID: 37880386,,Artificial intelligence ;  Datasets ;  Decision making ;  Inventory control ;  Learning algorithms ;  Machine learning ;  Management ;  Neural networks ;  Predictions ;  Resource allocation ;  Supply chain management,,,"Abstract Supply chain management relies on accurate backorder prediction for optimizing inventory control, reducing costs, and enhancing customer satisfaction. Traditional machine-learning models struggle with large-scale datasets and complex relationships. This research introduces a novel methodological framework for supply chain backorder prediction, addressing the challenge of collecting large real-world datasets with 90% accuracy. Our proposed model demonstrates remarkable accuracy in predicting backorders on short and imbalanced datasets. We capture intricate patterns and dependencies by leveraging quantum-inspired techniques within the quantum-classical neural network QAmplifyNet. Experimental evaluations on a benchmark dataset establish QAmplifyNet’s superiority over eight classical models, three classically stacked quantum ensembles, five quantum neural networks, and a deep reinforcement learning model. Its ability to handle short, imbalanced datasets makes it ideal for supply chain management. We evaluate seven preprocessing techniques, selecting the best one based on logistic regression’s performance on each preprocessed dataset. The model’s interpretability is enhanced using Explainable artificial intelligence techniques. Practical implications include improved inventory control, reduced backorders, and enhanced operational efficiency. QAmplifyNet also achieved the highest F1-score of 94% for predicting “Not Backorder” and 75% for predicting “backorder,” outperforming all other models. It also exhibited the highest AUC-ROC score of 79.85%, further validating its superior predictive capabilities. QAmplifyNet seamlessly integrates into real-world supply chain management systems, empowering proactive decision-making and efficient resource allocation. Future work involves exploring additional quantum-inspired techniques, expanding the dataset, and investigating other supply chain applications. This research unlocks the potential of quantum computing in supply chain optimization and paves the way for further exploration of quantum-inspired machine learning models in supply chain management. Our framework and QAmplifyNet model offer a breakthrough approach to supply chain backorder prediction, offering superior performance and opening new avenues for leveraging quantum-inspired techniques in supply chain management.",,,English,,,,,,,,GFMER Free Medical Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_doaj_primary_oai_doaj_org_article_a444e831eca147e5ae98f72255f30abc
Recent Trends in Intensive Computing.,"Rajesh, M. ; Vengatesan, K. ; Ñān̲acēkar, Em. ",,,1st ed.,"Amsterdam : IOS Press, Incorporated",2021,ISBN : 9781643682174 (electronic bk.); OCLC : (OCoLC)1295241967; ISBN : 9781643682167,1 online resource (960 pages),Computer science--Congresses; Artificial intelligence--Congresses,,Electronic books,,,,English,,"Intro -- Title Page -- Preface -- Contents -- An Image Encryption Technique Based on Logistic Sine Map and an Encrypted Image Retrieval Using DCT Frequency -- Speech to Indian Sign Language Translator -- A Proposed Methodology to Mitigate the Ransomware Attack -- A Relative Investigation of Various Algorithms for Online Financial Fraud Detection Techniques -- A Comprehensive Survey on Aspect Based Word Embedding Models and Sentiment Analysis Classification Approaches -- Impact of Internet of Things (IoT) in Smart Agriculture -- Real Time Tracing and Alerting System for Vehicles and Children to Ensure Safety and Security Using Labview -- Air Quality Monitoring System -- Text Summarizing Using NLP -- Hybrid Parallel Feature Subset Selection for High Dimensional Datasets -- A Compact Disc Shaped Microstrip Patch Antenna Using Inset Fed at 5GHz for Satellite Communications -- An Automated Music Recommendation System Based on Listener Preferences -- #Vaccine: Using Hashtags from Indian Tweets to Capture and Analyse the Sentiments of People on Vaccination for Covid'19 Pandemic -- Help Farmers - Farm Era App -- IoT Based Security Alerts for the Safety of Industrial Area -- Study on SDN with Security Issues Using Mininet -- Analysis and Design of Advance Scalable QoS Based Resource Provisioning Framework -- MISP: Model for IaaS Security and Privacy -- Anti-Counterfeiting and Traceability Mechanism Based on Blockchain -- Data Security and Privacy-Preserving Framework Using Machine Learning and Blockchain in Big-Data to Data Middle Platform in the Era of IR 4.0 -- Parallel Deep Learning Framework for Video Surveillance System -- Performance Analysis of ML Algorithms to Detect Gender Based on Voice -- Pervasive Computing Applications and Security - A Deep Insight -- Price Prediction for Pre-Owned Cars Using Ensemble Machine Learning Techniques.; Prediction of Fake Tweets Using Machine Learning Algorithms -- SU-CCE: A Novel Feature Selection Approach for Reducing High Dimensionality -- A Review on Systematic Investigation of Leucocytes Identification and Classification Techniques for Microscopic Blood Smear -- DSAE - Deep Stack Auto Encoder and RCBO - Rider Chaotic Biogeography Optimization Algorithm for Big Data Classification -- Predicting COD and BOD Parameters of Greywater Using Multivariate Linear Regression -- Customer Segmentation Using Machine Learning -- A Session Key Based Security Mechanism for Cyber Physical System -- Real Time Human Gesture Recognition: Methods, Datasets and Strategies -- Using Artificial Intelligence in Source Code Summarization: A Review -- VirtualEye: Android Application for the Visually Impaired -- A Novel Technique for Handling Small File Problem of HDFS: Hash Based Archive File (HBAF) -- Study on Product Opinion Analysis for Customer Satisfaction on E-Commerce Websites -- A Survey on Different Techniques for Product Fake Review Detection and Product Rating -- Preprocessing and Skull Stripping of Brain Tumor Extraction from Magnetic Resonance Imaging Images Using Image Processing -- The Study of Usage of Hyperledger Fabric in Agricultural Ecommerce -- Hybrid Customer-Centric Sales Forecasting Model Using AI ML Approaches -- A Comprehensive Assessment on IOT Devices with Data Mining Techniques -- A Survey on Mining Cryptocurrencies -- Conformance Checking Techniques of Process Mining: A Survey -- Machine Learning: A Quantum Perspective -- Deep Learning Based Object Recognition in Real Time Images Using Thermal Imaging System -- Computer Vision Approach for Detecting Adulteration of Ghee with Foreign Fats - A Survey -- Aero Engine Performance Monitoring Using Least Squares Regression and Spectral Clustering.; Distributed Denial of Service Attacks Detection and Mitigation in Software Defined Mesh Networks -- Quantum Information Transmission Using CNOT Gate -- Chennai Water Resource Management Using GIS -- Data Privacy Preservation and Security Approaches for Sensitive Data in Big Data -- MISP: Model for IaaS Security and Privacy -- A Study on Image Segmentation Method for Image Processing -- Shielding Software Defined Network Using Hidden Authentication Technique -- A Study on Speech Emotion Recognitions on Machine Learning Algorithms -- Content Filtering of Social Media Sites Using Machine Learning Techniques -- Identification of Fake Video Using Smart Contracts and SHA Algorithm -- Blockchain Technology: Rising Trend in Various Applications -- Deployment of Computer Assisted Instruction in Higher Educational Organization -- A Systematic Review of Blockchain Technology and Its Applications -- EyePhone Technology: A Smart Wearable Device -- Systematic Study of Video Mining with Its Applications -- Node Failure Management to Improve the Performance of Wireless Sensor Networks -- COVID-19: Face Mask Detector with Open CV and CNN Algorithm -- Mineral Rock Classification Using Convolutional Neural Network -- A Survey on Electric Power Demand Forecasting -- A Wi-Fi Based Smart Irrigation Monitoring for an Agricultural Environment -- Exploring Cardiac Disease Based on ML in IOT: A Comprehensive Study -- A Wide Survey on Data Mining Approach for Crop Diseases Detection and Prevention -- Enhancing Agricultural Product Supply Chain Management Using Blockchain Technology: Concept -- A Review on BCI Emotions Classification for EEG Signals Using Deep Learning -- Aspect Based Emotion Detection and Topic Modeling on Social Media Reviews -- An Intrusion Detection System for Network Security Using Recurrent Neural Network.; Enhanced IoT Based Child Missing Alert System Using RSSI -- Prediction of Heart Disease Severity Measurment Using Deep Learning Techniques -- Analysis of Brain Tumor Disease Detection Using Convolutional Neural Network -- Online Attendance Marking System Using Facial Recognition and Intranet Connectivity -- Analysis of Security in Wireless Network: A Survey -- Restoring and Enhancing Degraded Underwater Pipelines for Identifying and Detecting Corrosion -- Architecture for Secure Communication Among IoT Devices with Ethereum Blockchain -- Natural Language Querying and Visualization System -- 3D Animation and Virtual Reality Integrated Cognitive Computing for Teaching and Learning in Higher Education -- Deep Psychological Learning of Japanese Anime Graphics in India Using Cognitive Computation -- A Deep Analysis of Higher Education Cognitive and Psychological Learning Impact During Covid 19 Pandemic -- Performance Measurement of Animation Design Pre-Production Artist During COVID-19 Pandemic in India -- Brain Inspired Visual Effects and Animation Psychological Computing Impact in Indian Television Advertisement Pre and Post 2000s -- Data Confidentiality in Cloud Storage. A Survey -- Implementation of IoT in Agriculture -- Threat Model for Secure Health Care Data Using EMR, EHR and Health Monitoring Devices -- Smart Ambulance System with Remote Knowledge Communications Through Cloud -- LORA (Long Range) Based Low Power Emergency Tracking System in Disaster Areas -- Design and Analysis of 64 GHz Millimetre Wave Microstrip Patch Antenna -- Customer Analysis Using Machine Learning Algorithms: A Case Study Using Banking Consumer Dataset -- Covid Patient Health Monitoring Using IoT During Quarantine -- Regenerative and LoRa Based Trooper Monitoring System for Armed Forces.; Development and Evaluation of an Early Detection of COVID-19 Pneumonia Using CT Images -- A GSM Based Assistive Device for Blind, Deaf and Dumb -- IoT Based Smart Cradle Using PI -- Cascading of Air Quality Detector and Digital Data Transmission with Zero Error in Minimum Duration -- A New Tariff Based Energy Saving and Sharing Scheme from Renewable Energy Using Smart Grid -- Automobile Authentication and Tracking System -- Deep Learning Based Indian Sign Language Words Identification System -- Dementia People Tracking System -- GSM Based Smart Energy Meter System -- Grid-Tie Rotating Solar Rooftop System Using Atmega -- Removal of Specular Reflection on Handheld Camera Devices -- Fundus Image Classification Using Convolutional Neural Network -- MIMO Using Silicon Patch Antenna -- Powerful and Novel Tumour Detection in Brain MRI Images Employing Hybrid Computational Techniques -- Firefighter Safety Using IoT -- Shopping Wagon: A Smart Shopping System Using RFID for Shopping Malls -- IoT Based Solar Panel Tracking System with Weather Monitoring System -- Quantification of Blood Cells and Blood Disease Detection Using Image Processing -- Optical Switch Performance for Electronic Applications -- Coronary Illness Prediction Using Random Forest Classifier -- Live Human Detection Robot in Earthquake Conditions -- Online Transformer Monitoring System -- Improving Security Using Modified S-Box for AES Cryptographic Primitives -- Assertion Driven Modified Booth Encoding and Post Computation Model for Speed MAC Applications -- Highly Secured Dynamic Color QR Pattern Generation for Real Time Application -- 25 Meter Rifle Shooting Training Kit -- Enhanced Data Privacy Using Vertical Fragmentation and Data Anonymization Techniques -- A Robot for Combat and Calamities with Encrypted WSN -- Diabetes Risk Forecasting Using Logistic Regression.; Sports Ground Audience Health Monitoring System [For COVID-19] Using Smart Wireless Sensor Network.",,"Available in other form: Print version: Rajesh, M. Recent Trends in Intensive Computing Amsterdam : IOS Press, Incorporated,c2021 ",Advances in Parallel Computing Ser. ; Advances in Parallel Computing Ser. ; v.39 ,,,Library Catalog,991014912802461,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma991014912802461
Quantum Computing for Supply Chain Finance,"Griffin, Paul ;  Sampat, Ritesh","2021 IEEE International Conference on Services Computing (SCC), 2021, p.456-459",,,IEEE,,EISSN: 2474-2473; EISBN: 9781665416832; EISBN: 1665416831; DOI: 10.1109/SCC53864.2021.00066; CODEN: IEEPAD,,credit ;  Finance ;  Hardware ;  Quantum algorithm ;  quantum computing ;  Quantum mechanics ;  Service computing ;  supply chainfinance ;  Supply chains ;  trade finance ;  Tutorials,,,"Applying quantum computing to real world applications to assess the potential efficacy is a daunting task for non-quantum specialists. This paper shows an implementation of two quantum optimization algorithms applied to portfolios of trade finance portfolios and compares the selections to those chosen by experienced underwriters and a classical optimizer. The method used is to map the financial risk and returns for a trade finance portfolio to an optimization function of a quantum algorithm developed in a Qiskit tutorial. The results show that whilst there is no advantage seen by using the quantum algorithms, the performance of the quantum algorithms has no statistically significant degradation. Therefore, it is promising that in the future, with expected improvements in quantum hardware, the theoretically superior processing speeds, and data volumes that quantum offers, will also be applicable to trade finance.",,,English,,,,,,,,IEEE Xplore All Conference Series,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_ieee_primary_9592468
Big data analytics for intelligent healthcare management ,"Dey, Nilanjan, editor. ; Das, Himansu, editor. ; Naik, Bighnaraj, editor. ; Behera, H. S., editor. ",,,,London : Academic Press,2019,ISBN : 9780128181478 (electronic bk.); ISBN : 0128181478 (electronic bk.); ISBN : 9780128181461 (electronic bk.); ISBN : 012818146X (electronic bk.); OCLC : (OCoLC)1097248476; OCLC : (OCoLC)on1097248476,1 online resource,Computer science; Computer system failures; Database management; Data mining; Image processing,,,"Big Data Analytics for Intelligent Healthcare Management covers both the theory and application of hardware platforms and architectures, the development of software methods, techniques and tools, applications and governance, and adoption strategies for the use of big data in healthcare and clinical research. The book provides the latest research findings on the use of big data analytics with statistical and machine learning techniques that analyze huge amounts of real-time healthcare data.",,,English,"volume editors, Nilanjan Dey, Himansu Das, Bighnaraj Naik, Himansu Sekhar Behera.","Front Cover; Big Data Analytics for Intelligent Healthcare Management; Copyright; Contents; Contributors; Preface; Acknowledgments; Chapter 1: Bio-Inspired Algorithms for Big Data Analytics: A Survey, Taxonomy, and Open Challenges; 1.1. Introduction; 1.1.1. Dimensions of Data Management; 1.2. Big Data Analytical Model; 1.3. Bio-Inspired Algorithms for Big Data Analytics: A Taxonomy; 1.3.1. Evolutionary Algorithms; 1.3.2. Swarm-Based Algorithms; 1.3.3. Ecological Algorithms; 1.3.4. Discussions; 1.4. Future Research Directions and Open Challenges; 1.4.1. Resource Scheduling and Usability; 1.4.2. Data Processing and Elasticity1.4.3. Resilience and Heterogeneity in Interconnected Clouds; 1.4.4. Sustainability and Energy-Efficiency; 1.4.5. Data Security and Privacy Protection; 1.4.6. IoT-Based Edge Computing and Networking; 1.5. Emerging Research Areas in Bio-Inspired Algorithm-Based Big Data Analytics; 1.5.1. Container as a Service (CaaS); 1.5.2. Serverless Computing as a Service (SCaaS); 1.5.3. Blockchain as a Service (BaaS); 1.5.4. Software-defined Cloud as a Service (SCaaS); 1.5.5. Deep Learning as a Service (DLaaS); 1.5.6. Bitcoin as a Service (BiaaS); 1.5.7. Quantum Computing as a Service (QCaaS)1.6. Summary and Conclusions; Acknowledgments; References; Further Reading; Chapter 2: Big Data Analytics Challenges and Solutions; 2.1. Introduction; 2.1.1. Consumable Massive Facts Analytics; 2.1.2. Allotted Records Mining Algorithms; 2.1.3. Gadget Failure; 2.1.4. Facts Aggregation Challenges; 2.1.5. Statistics Preservation-Demanding Situations; 2.1.6. Information Integration Challenges; 2.2. Records Analysis Challenges; 2.2.1. Scale of the Statistics; 2.2.2. Pattern Interpretation Challenges; 2.3. Arrangements of Challenges; 2.3.1. User Intervention Method2.3.2. Probabilistic Method; 2.3.3. Defining and Detecting Anomalies in Human Ecosystems; 2.4. Demanding Situations in Managing Huge Records; 2.5. Massive Facts Equal Large Possibilities; 2.5.1. Present Answers to Challenges for the Quantity Mission; 2.5.1.1. Hadoop; 2.5.1.2. Hadoop-distributed file system; 2.5.1.3. Hadoop MapReduce; 2.5.1.4. Apache spark; 2.5.1.5. Grid computing; 2.5.1.6. Spark structures; 2.5.1.7. Capacity solutions for records-variety trouble; 2.5.2. Image Mining and Processing With Big Data; 2.5.3. Potential Answers for Velocity Trouble; 2.5.3.1. Transactional databases2.5.3.2. Statistics representation; 2.5.3.3. Massive actualities calculations; 2.5.3.4. Ability solutions for privateers and safety undertaking; 2.5.4. Ability Solutions for Scalability Assignments; 2.5.4.1. Big data and cloud computing; 2.5.4.2. Cloud computing service models; 2.5.4.3. Answers; 2.5.4.4. Use record encryption; 2.5.4.5. Imposing access controls; 2.5.4.6. Logging; 2.6. Discussion; 2.7. Conclusion; Glossary; References; Further Reading; Chapter 3: Big Data Analytics in Healthcare: A Critical Analysis; 3.1. Introduction; 3.2. Big Data",,,Advances in ubiquitous sensing applications for healthcare ; volume three ; Advances in ubiquitous sensing applications for healthcare ; volume three. ,,,Library Catalog,99725535102461,963N1_T2_23_24: Supply Chain Information Systems [23/24]; Business and Management; Aniekan Essien; Hamid Khobzi; Dimitra Petrakaki ,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma99725535102461
QAmplifyNet: Pushing the Boundaries of Supply Chain Backorder Prediction Using Interpretable Hybrid Quantum-Classical Neural Network,"Md Abrar Jahin ;  Md Sakib Hossain Shovon ;  Md Saiful Islam ;  Shin, Jungpil ;  Mridha, M F ;  Okuyama, Yuichi","arXiv.org, 2023",,,"Ithaca: Cornell University Library, arXiv.org",,EISSN: 2331-8422; DOI: 10.48550/arxiv.2307.12906,,Artificial intelligence ;  Backorders ;  Customer satisfaction ;  Datasets ;  Decision making ;  Deep learning ;  Inventory control ;  Machine learning ;  Management systems ;  Neural networks ;  Optimization ;  Quantum computing ;  Resource allocation ;  Supply chain management ;  Supply chains,,,"Supply chain management relies on accurate backorder prediction for optimizing inventory control, reducing costs, and enhancing customer satisfaction. However, traditional machine-learning models struggle with large-scale datasets and complex relationships, hindering real-world data collection. This research introduces a novel methodological framework for supply chain backorder prediction, addressing the challenge of handling large datasets. Our proposed model, QAmplifyNet, employs quantum-inspired techniques within a quantum-classical neural network to predict backorders effectively on short and imbalanced datasets. Experimental evaluations on a benchmark dataset demonstrate QAmplifyNet's superiority over classical models, quantum ensembles, quantum neural networks, and deep reinforcement learning. Its proficiency in handling short, imbalanced datasets makes it an ideal solution for supply chain management. To enhance model interpretability, we use Explainable Artificial Intelligence techniques. Practical implications include improved inventory control, reduced backorders, and enhanced operational efficiency. QAmplifyNet seamlessly integrates into real-world supply chain management systems, enabling proactive decision-making and efficient resource allocation. Future work involves exploring additional quantum-inspired techniques, expanding the dataset, and investigating other supply chain applications. This research unlocks the potential of quantum computing in supply chain optimization and paves the way for further exploration of quantum-inspired machine learning models in supply chain management. Our framework and QAmplifyNet model offer a breakthrough approach to supply chain backorder prediction, providing superior performance and opening new avenues for leveraging quantum-inspired techniques in supply chain management.",,,English,,,,,,,,arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_2307_12906
Quantum Computing Methods for Supply Chain Management,"Jiang, Hansheng ;  Zuo-Jun, Max Shen ;  Liu, Junyu","arXiv.org, 2022",,,"Ithaca: Cornell University Library, arXiv.org",,EISSN: 2331-8422; DOI: 10.1109/SEC54971.2022.00059,,Inventory control ;  Iterative algorithms ;  Iterative methods ;  Operations management ;  Quantum computing ;  Supply chains,,,"Quantum computing is expected to have transformative influences on many domains, but its practical deployments on industry problems are underexplored. We focus on applying quantum computing to operations management problems in industry, and in particular, supply chain management. Many problems in supply chain management involve large state and action spaces and pose computational challenges on classic computers. We develop a quantized policy iteration algorithm to solve an inventory control problem and demonstrative its effectiveness. We also discuss in-depth the hardware requirements and potential challenges on implementing this quantum algorithm in the near term. Our simulations and experiments are powered by \texttt{IBM Qiskit} and the \texttt{qBraid} system.",,,English,,,,,,,,arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_2209_08246
A First Order Survey of Quantum Supply Dynamics and Threat Landscapes,"Das, Subrata ;  Chatterjee, Avimita ;  Ghosh, Swaroop","arXiv.org, 2023",,,"Ithaca: Cornell University Library, arXiv.org",,EISSN: 2331-8422; DOI: 10.48550/arxiv.2308.09772,,Computer security ;  Physics - Quantum Physics ;  Quantum computers ;  Quantum computing ;  Software ;  Supply chains,,,"Quantum computing, with its transformative computational potential, is gaining prominence in the technological landscape. As a new and exotic technology, quantum computers involve innumerable Intellectual Property (IP) in the form of fabrication recipe, control electronics and software techniques, to name a few. Furthermore, complexity of quantum systems necessitates extensive involvement of third party tools, equipment and services which could risk the IPs and the Quality of Service and enable other attack surfaces. This paper is a first attempt to explore the quantum computing ecosystem, from the fabrication of quantum processors to the development of specialized software tools and hardware components, from a security perspective. By investigating the publicly disclosed information from industry front runners like IBM, Google, Honeywell and more, we piece together various components of quantum computing supply chain. We also uncover some potential vulnerabilities and attack models and suggest defenses. We highlight the need to scrutinize the quantum computing supply chain further through the lens of security.",,,English,,,,,,,,arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_2308_09772
Quantum computing based hybrid solution strategies for large-scale discrete-continuous optimization problems,"Ajagekar, Akshay ;  Humble, Travis ;  You, Fengqi","Computers & chemical engineering, 2020, Vol.132 (C), p.106630, Article 106630",,,Ithaca: Elsevier Ltd,,ISSN: 0098-1354; EISSN: 1873-4375; EISSN: 2331-8422; DOI: 10.1016/j.compchemeng.2019.106630,,Algorithms ;  Combinatorial analysis ;  Computer simulation ;  Design optimization ;  Hybrid techniques ;  Integer programming ;  Job shop scheduling ;  Logistics ;  MATHEMATICS AND COMPUTING ;  Molecular conformation ;  Molecular design ;  Optimization ;  Production scheduling ;  Quality control ;  Quantum computers ;  Quantum computing ;  Route planning ;  Scheduling and planning ;  Supply chain and logistics optimization ;  Vehicle routing,,,"•Novel quantum computing based hybrid solution strategies are developed.•The proposed hybrid techniques leverage both quantum and classical computers.•Applications ranging from molecular design to logistics optimization are addressed.•Application problems across multiple scales are solved by respective hybrid method.•Hybrid techniques outperform general-purpose state-of-the-art deterministic solvers.
Quantum computing (QC) has gained popularity due to its unique capabilities that are quite different from that of classical computers in terms of speed and methods of operations. This paper proposes hybrid models and methods that effectively leverage the complementary strengths of deterministic algorithms and QC techniques to overcome combinatorial complexity for solving large-scale mixed-integer programming problems. Four applications, namely the molecular conformation problem, job-shop scheduling problem, manufacturing cell formation problem, and the vehicle routing problem, are specifically addressed. Large-scale instances of these application problems across multiple scales ranging from molecular design to logistics optimization are computationally challenging for deterministic optimization algorithms on classical computers. To address the computational challenges, hybrid QC-based algorithms are proposed and extensive computational experimental results are presented to demonstrate their applicability and efficiency. The proposed QC-based solution strategies enjoy high computational efficiency in terms of solution quality and computation time, by utilizing the unique features of both classical and quantum computers.",,,English,,,,,,,,ScienceDirect; Elsevier ScienceDirect Journals Complete; KB+ JISC Collections Elsevier ScienceDirect Freedom Collection 2017-2021; arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_osti_scitechconnect_1606975
Is all-electrical silicon quantum computing feasible in the long term?,"Ferraro, Elena ;  Prati, Enrico","Physics letters. A, 2020, Vol.384 (17), p.126352, Article 126352",,,Ithaca: Elsevier B.V,,ISSN: 0375-9601; ISSN: 1873-2429; EISSN: 1873-2429; EISSN: 2331-8422; DOI: 10.1016/j.physleta.2020.126352,,Electrical grounding ;  Electrons ;  Long term ;  Quantum computers ;  Quantum computing ;  Quantum dot ;  Quantum dots ;  Qubits (quantum computing) ;  Semiconductor quantum computer ;  Silicon ;  Spin qubit ;  Superconductors ;  Supply chains ;  Technology node ;  Transistors,,,"•Silicon spin qubits is a quantum technology which relies on solid theoretical basis.•The fabrication techniques allow relevant advantages in terms of scalability.•Spin qubits developed by academia, fabrication facilities and at industrial level.•Semiconductor qubit manufacturing integrated with the cryogenic control.•Scalability to millions of qubits in the long term for a universal quantum computer.
The development of the first generation of commercial quantum computers is based on superconductive qubits and trapped ions respectively. Other technologies such as semiconductor quantum dots, neutral ions and photons could in principle provide an alternative to achieve comparable results in the medium term. It is relevant to evaluate if one or more of them is potentially more effective to address scalability to millions of qubits in the long term, in view of creating a universal quantum computer. We review an all-electrical silicon spin qubit, that is the double quantum dot hybrid qubit, a quantum technology which relies on both solid theoretical grounding on one side, and massive fabrication technology of nanometric scale devices by the existing silicon supply chain on the other.",,,English,,,,,,,,ScienceDirect; Elsevier ScienceDirect Journals Complete; KB+ JISC Collections Elsevier ScienceDirect Freedom Collection 2017-2021; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1016_j_physleta_2020_126352
Quantum blind signature scheme for supply chain financial,"Feng, Xiaoning ;  Wu, Hongyu ;  Zhou, Xiaolong ;  Yao, Yao","Quantum information processing, 2022, Vol.22 (1), Article 5",,,New York: Springer US,,ISSN: 1573-1332; EISSN: 1573-1332; DOI: 10.1007/s11128-022-03763-8,,Data Structures and Information Theory ;  Mathematical Physics ;  Physics ;  Physics and Astronomy ;  Quantum Computing ;  Quantum Information Technology ;  Quantum Physics ;  Spintronics,,,"Quantum cryptography is the fastest growing field in quantum information science. In this paper, we demonstrate the application of quantum cryptography to financial security. Using the entanglement properties of
χ
-state particles and the distributed quantum one-time pad algorithm, we propose a new quantum blind signature scheme combined with the scenario requirements of supply chain finance. The main idea of the scheme is that each participant obtains a key with an associated relationship by measuring
χ
-state particles, and the participants sign and verify the information according to the distributed quantum one-time pad algorithm and the above key obtained. We carefully proved the correctness of the scheme. Under the security analysis, we preset five common attack methods using the scenario-resistance method. We verify that our scheme can prevent them.",,,English,,,,,,,,SpringerLINK Contemporary 1997-Present; KB+ JISC Collections Springer Compact 2019-2021; SpringerLink Journals - AutoHoldings; Springer Journals Online,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_crossref_primary_10_1007_s11128_022_03763_8
